all_dependencies_updated,closed_issues_count,commit_frequency,contributor_count,created_since,dependant_projects_count,homepage_accessible,lib_rank,maintained,not_deprecated,not_removed,org_count,recent_release,releases_count,updated_since,package_name,criticality_score
1,0,0,3,62,0,0,9,1,1,1,3,0,8,23,patchify,0.399
1,0,0,30,125,567,0,17,1,0,1,14,0,44,53,oauth2client,0.521
1,47,0,30,130,15839,1,24,1,1,1,15,0,114,24,lodash,0.691
1,100,0,30,14,342,0,23,1,1,1,5,0,32,12,azure-common,0.598
1,57,100,30,185,639,1,24,1,1,1,14,1,199,2,virtualenv,0.837
1,0,0,0,166,506,1,17,1,1,1,0,1,43,1,pkginfo,0.619
1,9,24,5,77,56,0,14,1,1,1,2,1,13,1,grpc-google-iam-v1,0.66
1,1,11,10,53,332,0,22,1,1,1,6,1,32,5,nest-asyncio,0.695
1,1,0,10,38,2,0,10,1,1,1,1,0,8,26,smdebug-rulesconfig,0.425
1,100,0,30,63,11,0,18,1,1,1,5,1,22,2,azure-mgmt-loganalytics,0.674
1,0,0,17,94,38,0,18,1,1,1,7,0,20,22,hyperframe,0.531
1,0,0,5,83,52,0,15,1,1,1,5,0,6,17,click-didyoumean,0.484
1,0,0,30,87,258,0,19,1,1,1,14,0,26,16,configargparse,0.59
1,12,20,30,122,201,0,18,1,1,1,18,1,28,1,pytest-rerunfailures,0.767
1,0,0,0,101,337,0,19,1,1,1,0,0,17,14,terminaltables,0.459
1,0,0,9,95,38,1,16,1,1,1,4,0,23,28,clickclick,0.532
1,2,18,7,65,12,0,13,1,1,1,3,0,7,11,sqlalchemy-json,0.512
1,100,100,30,26,7,1,16,1,1,1,15,1,38,3,apache-airflow-providers-sqlite,0.755
1,0,0,0,14,103,1,13,1,1,1,0,0,6,14,crcmod,0.424
1,8,100,30,71,42,1,17,1,1,1,15,1,53,5,setuptools-rust,0.769
1,0,2,27,74,38,1,18,1,1,1,12,0,23,16,cfn-flip,0.599
1,1,0,16,103,10,1,14,1,1,1,8,0,11,58,flask-oidc,0.515
1,10,19,30,127,29,1,16,1,1,1,12,1,36,2,pycares,0.754
1,23,100,14,42,684,1,19,1,1,1,7,1,48,3,charset-normalizer,0.783
1,13,18,28,14,4330,1,27,1,1,1,13,1,55,2,certifi,0.81
1,100,0,30,201,8900,1,27,1,1,1,10,1,537,1,setuptools,0.822
1,13,1,16,84,196,1,16,1,1,1,6,0,51,32,msrestazure,0.597
1,74,100,30,150,8212,1,27,1,1,1,16,1,87,3,flake8,0.871
1,5,19,14,14,259,1,21,1,1,1,6,1,24,1,lazy-object-proxy,0.739
1,7,0,30,117,536,1,22,1,1,1,17,0,27,32,html5lib,0.636
1,100,100,30,39,3453,1,23,1,1,1,15,1,177,1,rich,0.859
1,7,37,30,45,866,1,22,1,1,1,18,0,18,18,pluggy,0.684
1,0,0,0,134,213,1,14,1,1,1,0,0,14,20,contextlib2,0.463
1,3,5,28,149,1879,1,23,1,1,1,14,0,8,33,appdirs,0.647
1,0,0,0,130,1649,1,15,1,1,1,0,0,11,104,docopt,0.458
1,0,0,0,32,80,1,11,1,1,1,0,0,12,23,avro-python3,0.428
1,0,0,30,165,873,1,25,1,1,1,15,1,194,6,celery,0.746
1,7,71,23,63,188,1,16,1,1,1,11,0,15,7,pep517,0.666
1,0,13,30,103,57,1,21,1,1,1,14,0,70,8,nodeenv,0.649
1,0,0,0,2,0,0,5,1,1,1,0,1,2,2,category-new,0.389
1,4,18,30,127,111,1,19,1,1,1,13,0,71,10,amqp,0.663
1,5,100,11,74,104,1,19,1,1,1,4,1,30,2,asttokens,0.751
1,11,79,23,141,244,1,21,1,1,1,13,1,215,1,phonenumbers,0.808
1,0,0,0,72,14,1,10,1,1,1,0,1,54,2,tensorflow-transform,0.551
1,3,3,6,50,6,1,9,1,1,1,3,0,1,50,graphframes,0.449
1,100,0,30,60,9,1,18,1,1,1,5,1,6,3,azure-mgmt-relay,0.675
1,11,100,30,43,21,1,13,1,1,1,12,1,38,1,cmdstanpy,0.764
1,100,0,30,58,7,1,17,1,1,1,5,1,12,3,azure-mgmt-datamigration,0.68
1,0,0,8,63,35,1,16,1,1,1,4,0,6,55,idna-ssl,0.493
1,0,0,0,26,0,1,7,1,1,1,0,1,406,2,sekkaybot,0.494
1,24,0,30,155,587,1,24,1,1,1,11,1,92,4,twisted,0.761
1,0,0,0,133,694,1,15,1,1,1,0,0,11,101,pathlib,0.448
1,0,0,9,149,34,1,13,1,1,1,6,0,8,20,sasl,0.519
1,0,0,2,94,36,1,14,1,1,1,0,0,5,21,polling,0.453
1,0,0,14,126,111,1,21,1,1,1,7,0,48,12,ftfy,0.59
1,0,0,3,40,6,1,9,1,1,1,1,0,7,40,sarif-om,0.423
1,5,28,30,185,151,1,19,1,1,1,11,0,22,24,mpmath,0.651
1,0,0,19,70,60,1,20,1,1,1,11,0,11,25,hyperlink,0.565
1,100,100,30,75,48,1,20,1,1,1,6,1,160,1,azure-cli,0.797
1,100,100,30,201,389,1,23,1,1,1,18,1,64,1,org.apache.maven:maven-settings,0.844
1,9,19,30,189,54026,1,30,1,1,1,16,0,33,24,junit:junit,0.726
1,0,0,0,207,11566,1,20,1,1,1,0,0,22,19,commons-io:commons-io,0.529
1,18,100,30,207,6232,1,24,1,1,1,15,0,16,30,commons-codec:commons-codec,0.722
1,1,25,11,201,242,1,18,1,1,1,5,1,27,1,org.apache.maven.reporting:maven-reporting-api,0.745
1,100,100,30,148,101,1,21,1,1,1,18,1,50,1,org.apache.maven:maven-model-builder,0.825
1,4,100,30,198,13736,1,26,1,1,1,17,1,108,3,ch.qos.logback:logback-classic,0.856
1,70,0,30,53,367,1,18,1,1,1,7,0,2,53,com.google.guava:listenablefuture,0.575
1,1,7,5,125,85,1,15,1,1,1,2,0,21,9,org.eclipse.sisu:org.eclipse.sisu.plexus,0.566
1,0,0,0,136,407,1,14,1,1,1,0,0,10,23,org.tukaani:xz,0.464
1,0,0,10,151,44,0,11,1,0,1,4,0,18,135,org.sonatype.aether:aether-spi,0.41
1,3,36,12,91,27,1,15,1,1,1,7,0,9,12,net.minidev:accessors-smart,0.593
1,44,66,30,97,898,1,21,1,1,1,9,1,56,0,org.glassfish.jaxb:jaxb-runtime,0.843
1,3,19,13,156,679,1,20,1,1,1,7,0,31,10,org.jboss.logging:jboss-logging,0.657
